,Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Minutes,views_str,likes_str,dislikes_str,LikeRatio_str,plot_text
20,Parks and Recreation: April & Andy - Millennials Growing (Up) Together,The Take,19:15,15507,342,430256,634,2019-03-23,3,97.842,19.25,430256,15507,342,97.842,Parks and Recreation: April & Andy - Millennials Growing (Up) Together<br>Channel: The Take<br>Views: 430256<br>Likes: 15507<br>LikeRatio: 97.842<br>Length: 19:15
22,Phoebe & Joey: More Than Just Friends,The Take,18:33,21233,337,597367,1060,2019-10-13,3,98.438,18.55,597367,21233,337,98.438,Phoebe & Joey: More Than Just Friends<br>Channel: The Take<br>Views: 597367<br>Likes: 21233<br>LikeRatio: 98.438<br>Length: 18:33
23,Friends' Monica and Chandler - Romance Through Ridicule,The Take,21:16,17919,125,408156,949,2020-10-17,3,99.307,21.267,408156,17919,125,99.307,Friends' Monica and Chandler - Romance Through Ridicule<br>Channel: The Take<br>Views: 408156<br>Likes: 17919<br>LikeRatio: 99.307<br>Length: 21:16
24,April and Andy (Behind The Scenes) - Parks and Recreation,Parks and Recreation,08:25,68416,632,4940743,2386,2015-01-28,3,99.085,8.417,4940743,68416,632,99.085,April and Andy (Behind The Scenes) - Parks and Recreation<br>Channel: Parks and Recreation<br>Views: 4940743<br>Likes: 68416<br>LikeRatio: 99.085<br>Length: 08:25
25,The Office's Ryan - A Millennial Tragedy,The Take,20:06,28528,2079,1256194,2580,2020-02-16,3,93.207,20.1,1256194,28528,2079,93.207,The Office's Ryan - A Millennial Tragedy<br>Channel: The Take<br>Views: 1256194<br>Likes: 28528<br>LikeRatio: 93.207<br>Length: 20:06
26,Parks and Recreation at PaleyFest LA 2014: Full Conversation,The Paley Center for Media,1:14:27,2318,62,238673,180,2020-04-27,3,97.395,74.45,238673,2318,62,97.395,Parks and Recreation at PaleyFest LA 2014: Full Conversation<br>Channel: The Paley Center for Media<br>Views: 238673<br>Likes: 2318<br>LikeRatio: 97.395<br>Length: 1:14:27
27,Parks and Recreation Out of Context,Mr.Sherbert,1:05:18,20809,612,1552139,1094,2019-11-07,3,97.143,65.3,1552139,20809,612,97.143,Parks and Recreation Out of Context<br>Channel: Mr.Sherbert<br>Views: 1552139<br>Likes: 20809<br>LikeRatio: 97.143<br>Length: 1:05:18
28,Friends: Ursula and the History of the “Evil Twin”,The Take,27:43,12051,209,482857,603,2019-09-06,3,98.295,27.717,482857,12051,209,98.295,Friends: Ursula and the History of the “Evil Twin”<br>Channel: The Take<br>Views: 482857<br>Likes: 12051<br>LikeRatio: 98.295<br>Length: 27:43
29,The Office: Kelly and Andy - A Love Story Never Told,The Take,17:01,13417,420,577849,808,2019-03-24,3,96.965,17.017,577849,13417,420,96.965,The Office: Kelly and Andy - A Love Story Never Told<br>Channel: The Take<br>Views: 577849<br>Likes: 13417<br>LikeRatio: 96.965<br>Length: 17:01
30,"Parks and Recreation: Leslie Knope, A Woman's Woman in Government",The Take,15:06,9621,107,232881,572,2018-10-13,4,98.9,15.1,232881,9621,107,98.9,"Parks and Recreation: Leslie Knope, A Woman's Woman in Government<br>Channel: The Take<br>Views: 232881<br>Likes: 9621<br>LikeRatio: 98.9<br>Length: 15:06"
31,Parks and Recreation: April & Andy - Millennials Growing (Up) Together,The Take,19:15,15507,342,430256,634,2019-03-23,4,97.842,19.25,430256,15507,342,97.842,Parks and Recreation: April & Andy - Millennials Growing (Up) Together<br>Channel: The Take<br>Views: 430256<br>Likes: 15507<br>LikeRatio: 97.842<br>Length: 19:15
32,The Office's Dwight Schrute - Go Your Own Way,The Take,18:46,16709,454,662108,857,2018-09-01,4,97.355,18.767,662108,16709,454,97.355,The Office's Dwight Schrute - Go Your Own Way<br>Channel: The Take<br>Views: 662108<br>Likes: 16709<br>LikeRatio: 97.355<br>Length: 18:46
33,Bird Box & A Quiet Place: The Horrors of Modern Parenting,The Take,23:33,7475,124,203581,426,2019-02-03,4,98.368,23.55,203581,7475,124,98.368,Bird Box & A Quiet Place: The Horrors of Modern Parenting<br>Channel: The Take<br>Views: 203581<br>Likes: 7475<br>LikeRatio: 98.368<br>Length: 23:33
34,The Best Of Ron Swanson (Parks and Recreation),witchorking,32:15,257762,7219,29340175,13004,2017-02-22,4,97.276,32.25,29340175,257762,7219,97.276,The Best Of Ron Swanson (Parks and Recreation)<br>Channel: witchorking<br>Views: 29340175<br>Likes: 257762<br>LikeRatio: 97.276<br>Length: 32:15
35,What Makes Michael Schur’s Shows Great | A Video Essay,Point Of Information,14:32,9690,130,181205,503,2019-07-31,4,98.676,14.533,181205,9690,130,98.676,What Makes Michael Schur’s Shows Great | A Video Essay<br>Channel: Point Of Information<br>Views: 181205<br>Likes: 9690<br>LikeRatio: 98.676<br>Length: 14:32
37,Parks and Recreation 10th Anniversary Reunion at PaleyFest LA 2019: Full Conversation,The Paley Center for Media,1:12:10,11180,180,714494,931,2020-04-27,4,98.415,72.167,714494,11180,180,98.415,Parks and Recreation 10th Anniversary Reunion at PaleyFest LA 2019: Full Conversation<br>Channel: The Paley Center for Media<br>Views: 714494<br>Likes: 11180<br>LikeRatio: 98.415<br>Length: 1:12:10
38,"Mean Girls: Regina George, The Psychology of a Dictator",The Take,19:51,61777,505,1350738,2005,2019-04-27,4,99.189,19.85,1350738,61777,505,99.189,"Mean Girls: Regina George, The Psychology of a Dictator<br>Channel: The Take<br>Views: 1350738<br>Likes: 61777<br>LikeRatio: 99.189<br>Length: 19:51"
39,"The Good Place, Ending Explained - What Happens After?",The Take,20:12,19115,311,554338,1268,2020-02-12,4,98.399,20.2,554338,19115,311,98.399,"The Good Place, Ending Explained - What Happens After?<br>Channel: The Take<br>Views: 554338<br>Likes: 19115<br>LikeRatio: 98.399<br>Length: 20:12"
40,We're All Four Characters in The Good Place,The Take,13:04,14934,178,346179,560,2018-07-22,5,98.822,13.067,346179,14934,178,98.822,We're All Four Characters in The Good Place<br>Channel: The Take<br>Views: 346179<br>Likes: 14934<br>LikeRatio: 98.822<br>Length: 13:04
41,"The Good Place, Ending Explained - What Happens After?",The Take,20:12,19115,311,554338,1268,2020-02-12,5,98.399,20.2,554338,19115,311,98.399,"The Good Place, Ending Explained - What Happens After?<br>Channel: The Take<br>Views: 554338<br>Likes: 19115<br>LikeRatio: 98.399<br>Length: 20:12"
42,Small Quick Ordinary Look at The Umbrella Academy,Quinn Curio,53:05,94201,1103,2188440,6497,2019-07-11,5,98.843,53.083,2188440,94201,1103,98.843,Small Quick Ordinary Look at The Umbrella Academy<br>Channel: Quinn Curio<br>Views: 2188440<br>Likes: 94201<br>LikeRatio: 98.843<br>Length: 53:05
43,Parks and Recreation: April & Andy - Millennials Growing (Up) Together,The Take,19:15,15507,342,430256,634,2019-03-23,5,97.842,19.25,430256,15507,342,97.842,Parks and Recreation: April & Andy - Millennials Growing (Up) Together<br>Channel: The Take<br>Views: 430256<br>Likes: 15507<br>LikeRatio: 97.842<br>Length: 19:15
44,Bridesmaids: Why Helen Has No Friends,The Take,20:24,26334,350,1053893,1578,2019-09-25,5,98.688,20.4,1053893,26334,350,98.688,Bridesmaids: Why Helen Has No Friends<br>Channel: The Take<br>Views: 1053893<br>Likes: 26334<br>LikeRatio: 98.688<br>Length: 20:24
45,The Office: Pam Beesly - The Perils of Being Normal,The Take,22:05,46318,1007,1468390,2313,2019-07-27,5,97.872,22.083,1468390,46318,1007,97.872,The Office: Pam Beesly - The Perils of Being Normal<br>Channel: The Take<br>Views: 1468390<br>Likes: 46318<br>LikeRatio: 97.872<br>Length: 22:05
46,Ocean's 8 Cast Breakdown: Starring Themselves,The Take,14:17,9806,450,369191,478,2018-06-03,5,95.612,14.283,369191,9806,450,95.612,Ocean's 8 Cast Breakdown: Starring Themselves<br>Channel: The Take<br>Views: 369191<br>Likes: 9806<br>LikeRatio: 95.612<br>Length: 14:17
47,The Meaning of Death: BoJack Horseman vs. The Good Place,Wisecrack,20:45,16155,313,427255,1044,2020-04-21,5,98.099,20.75,427255,16155,313,98.099,The Meaning of Death: BoJack Horseman vs. The Good Place<br>Channel: Wisecrack<br>Views: 427255<br>Likes: 16155<br>LikeRatio: 98.099<br>Length: 20:45
48,The Office: Why Michael Scott is Actually the World's Best Boss,The Take,17:23,34073,993,1318595,1644,2018-07-08,5,97.168,17.383,1318595,34073,993,97.168,The Office: Why Michael Scott is Actually the World's Best Boss<br>Channel: The Take<br>Views: 1318595<br>Likes: 34073<br>LikeRatio: 97.168<br>Length: 17:23
50,101 Facts About The Good Place,101Facts,29:25,6046,316,237507,359,2019-09-14,6,95.033,29.417,237507,6046,316,95.033,101 Facts About The Good Place<br>Channel: 101Facts<br>Views: 237507<br>Likes: 6046<br>LikeRatio: 95.033<br>Length: 29:25
51,Finale Table Read - The Good Place,NBC,1:01:56,24021,75,607778,1470,2020-08-28,6,99.689,61.933,607778,24021,75,99.689,Finale Table Read - The Good Place<br>Channel: NBC<br>Views: 607778<br>Likes: 24021<br>LikeRatio: 99.689<br>Length: 1:01:56
52,101 Facts About Brooklyn Nine-Nine,101Facts,32:57,13022,544,727781,860,2019-11-09,6,95.99,32.95,727781,13022,544,95.99,101 Facts About Brooklyn Nine-Nine<br>Channel: 101Facts<br>Views: 727781<br>Likes: 13022<br>LikeRatio: 95.99<br>Length: 32:57
53,101 Facts About The Lion King,101Facts,32:36,1692,75,79652,346,2019-06-29,6,95.756,32.6,79652,1692,75,95.756,101 Facts About The Lion King<br>Channel: 101Facts<br>Views: 79652<br>Likes: 1692<br>LikeRatio: 95.756<br>Length: 32:36
54,The Philosophy of The Good Place – Wisecrack Edition,Wisecrack,17:26,25249,457,861666,1353,2018-09-22,6,98.222,17.433,861666,25249,457,98.222,The Philosophy of The Good Place – Wisecrack Edition<br>Channel: Wisecrack<br>Views: 861666<br>Likes: 25249<br>LikeRatio: 98.222<br>Length: 17:26
55,101 Facts About Netflix,101Facts,34:45,2982,111,217060,314,2017-09-06,6,96.411,34.75,217060,2982,111,96.411,101 Facts About Netflix<br>Channel: 101Facts<br>Views: 217060<br>Likes: 2982<br>LikeRatio: 96.411<br>Length: 34:45
56,101 Facts About Avengers: Endgame,101Facts,32:55,5492,185,333056,344,2019-11-02,6,96.741,32.917,333056,5492,185,96.741,101 Facts About Avengers: Endgame<br>Channel: 101Facts<br>Views: 333056<br>Likes: 5492<br>LikeRatio: 96.741<br>Length: 32:55
57,101 Facts About Dubai,101Facts,25:21,699,16,19557,213,2021-06-19,6,97.762,25.35,19557,699,16,97.762,101 Facts About Dubai<br>Channel: 101Facts<br>Views: 19557<br>Likes: 699<br>LikeRatio: 97.762<br>Length: 25:21
58,101 Facts About Friends,101Facts,28:17,7230,433,432688,678,2016-12-02,6,94.349,28.283,432688,7230,433,94.349,101 Facts About Friends<br>Channel: 101Facts<br>Views: 432688<br>Likes: 7230<br>LikeRatio: 94.349<br>Length: 28:17
60,101 Facts About The 2000s,101Facts,36:19,7609,581,555002,1859,2018-08-11,7,92.906,36.317,555002,7609,581,92.906,101 Facts About The 2000s<br>Channel: 101Facts<br>Views: 555002<br>Likes: 7609<br>LikeRatio: 92.906<br>Length: 36:19
61,101 Facts About The 1990s,101Facts,35:45,7003,517,670327,1224,2018-01-13,7,93.125,35.75,670327,7003,517,93.125,101 Facts About The 1990s<br>Channel: 101Facts<br>Views: 670327<br>Likes: 7003<br>LikeRatio: 93.125<br>Length: 35:45
63,101 Facts About... Anything & Everything,101Facts,29:02,12491,962,1032037,1268,2018-01-20,7,92.849,29.033,1032037,12491,962,92.849,101 Facts About... Anything & Everything<br>Channel: 101Facts<br>Views: 1032037<br>Likes: 12491<br>LikeRatio: 92.849<br>Length: 29:02
64,101 Facts About The Oceans,101Facts,33:20,3385,213,366534,315,2017-11-08,7,94.08,33.333,366534,3385,213,94.08,101 Facts About The Oceans<br>Channel: 101Facts<br>Views: 366534<br>Likes: 3385<br>LikeRatio: 94.08<br>Length: 33:20
65,101 Facts About Crime and Punishment,101Facts,32:29,4620,243,352486,617,2016-08-26,7,95.003,32.483,352486,4620,243,95.003,101 Facts About Crime and Punishment<br>Channel: 101Facts<br>Views: 352486<br>Likes: 4620<br>LikeRatio: 95.003<br>Length: 32:29
66,101 Facts About Netflix,101Facts,34:45,2982,111,217060,314,2017-09-06,7,96.411,34.75,217060,2982,111,96.411,101 Facts About Netflix<br>Channel: 101Facts<br>Views: 217060<br>Likes: 2982<br>LikeRatio: 96.411<br>Length: 34:45
67,101 Facts About NASA,101Facts,30:40,3394,195,276809,622,2017-07-21,7,94.567,30.667,276809,3394,195,94.567,101 Facts About NASA<br>Channel: 101Facts<br>Views: 276809<br>Likes: 3394<br>LikeRatio: 94.567<br>Length: 30:40
68,101 Facts About Ancient Egypt,101Facts,36:07,3912,295,389994,447,2018-08-25,7,92.988,36.117,389994,3912,295,92.988,101 Facts About Ancient Egypt<br>Channel: 101Facts<br>Views: 389994<br>Likes: 3912<br>LikeRatio: 92.988<br>Length: 36:07
69,MTV Decade,GreenTurtleMedia,1:32:49,1035,48,76403,260,2014-02-23,7,95.568,92.817,76403,1035,48,95.568,MTV Decade<br>Channel: GreenTurtleMedia<br>Views: 76403<br>Likes: 1035<br>LikeRatio: 95.568<br>Length: 1:32:49
70,101 Facts About The 2010s,101Facts,41:21,3961,268,210510,650,2020-01-25,8,93.663,41.35,210510,3961,268,93.663,101 Facts About The 2010s<br>Channel: 101Facts<br>Views: 210510<br>Likes: 3961<br>LikeRatio: 93.663<br>Length: 41:21
71,101 Facts About Spongebob Squarepants,101Facts,28:17,3264,136,233925,476,2017-08-15,8,96.0,28.283,233925,3264,136,96.0,101 Facts About Spongebob Squarepants<br>Channel: 101Facts<br>Views: 233925<br>Likes: 3264<br>LikeRatio: 96.0<br>Length: 28:17
72,101 Facts About The 2000s,101Facts,36:19,7609,581,555002,1859,2018-08-11,8,92.906,36.317,555002,7609,581,92.906,101 Facts About The 2000s<br>Channel: 101Facts<br>Views: 555002<br>Likes: 7609<br>LikeRatio: 92.906<br>Length: 36:19
73,101 Facts About Prisons,101Facts,33:08,2569,146,159135,287,2019-03-30,8,94.622,33.133,159135,2569,146,94.622,101 Facts About Prisons<br>Channel: 101Facts<br>Views: 159135<br>Likes: 2569<br>LikeRatio: 94.622<br>Length: 33:08
74,101 Facts About God of War,101Facts,31:50,1330,47,54753,123,2019-11-16,8,96.587,31.833,54753,1330,47,96.587,101 Facts About God of War<br>Channel: 101Facts<br>Views: 54753<br>Likes: 1330<br>LikeRatio: 96.587<br>Length: 31:50
75,101 Facts About Super Mario,101Facts,33:22,2913,141,227008,422,2017-10-25,8,95.383,33.367,227008,2913,141,95.383,101 Facts About Super Mario<br>Channel: 101Facts<br>Views: 227008<br>Likes: 2913<br>LikeRatio: 95.383<br>Length: 33:22
76,101 Facts About Crime and Punishment,101Facts,32:29,4620,243,352486,617,2016-08-26,8,95.003,32.483,352486,4620,243,95.003,101 Facts About Crime and Punishment<br>Channel: 101Facts<br>Views: 352486<br>Likes: 4620<br>LikeRatio: 95.003<br>Length: 32:29
77,101 Facts About Friends,101Facts,28:17,7230,433,432688,678,2016-12-02,8,94.349,28.283,432688,7230,433,94.349,101 Facts About Friends<br>Channel: 101Facts<br>Views: 432688<br>Likes: 7230<br>LikeRatio: 94.349<br>Length: 28:17
78,101 Facts About Artificial Intelligence,101Facts,35:58,2281,115,249657,230,2017-10-20,8,95.2,35.967,249657,2281,115,95.2,101 Facts About Artificial Intelligence<br>Channel: 101Facts<br>Views: 249657<br>Likes: 2281<br>LikeRatio: 95.2<br>Length: 35:58
79,101 Facts About The 1990s,101Facts,35:45,7003,517,670327,1224,2018-01-13,8,93.125,35.75,670327,7003,517,93.125,101 Facts About The 1990s<br>Channel: 101Facts<br>Views: 670327<br>Likes: 7003<br>LikeRatio: 93.125<br>Length: 35:45
81,101 Facts About The Apocalypse,101Facts,29:25,6086,309,436013,901,2016-09-30,9,95.168,29.417,436013,6086,309,95.168,101 Facts About The Apocalypse<br>Channel: 101Facts<br>Views: 436013<br>Likes: 6086<br>LikeRatio: 95.168<br>Length: 29:25
82,101 Facts About Spongebob Squarepants,101Facts,28:17,3264,136,233925,476,2017-08-15,9,96.0,28.283,233925,3264,136,96.0,101 Facts About Spongebob Squarepants<br>Channel: 101Facts<br>Views: 233925<br>Likes: 3264<br>LikeRatio: 96.0<br>Length: 28:17
84,101 Facts About Crime and Punishment,101Facts,32:29,4620,243,352486,617,2016-08-26,9,95.003,32.483,352486,4620,243,95.003,101 Facts About Crime and Punishment<br>Channel: 101Facts<br>Views: 352486<br>Likes: 4620<br>LikeRatio: 95.003<br>Length: 32:29
85,What can fungi teach us? | DW Documentary,DW Documentary,42:27,12627,507,1380635,1269,2021-06-18,9,96.14,42.45,1380635,12627,507,96.14,What can fungi teach us? | DW Documentary<br>Channel: DW Documentary<br>Views: 1380635<br>Likes: 12627<br>LikeRatio: 96.14<br>Length: 42:27
86,101 Facts About The 2010s,101Facts,41:21,3961,268,210510,650,2020-01-25,9,93.663,41.35,210510,3961,268,93.663,101 Facts About The 2010s<br>Channel: 101Facts<br>Views: 210510<br>Likes: 3961<br>LikeRatio: 93.663<br>Length: 41:21
87,101 Facts About The Oceans,101Facts,33:20,3385,213,366534,315,2017-11-08,9,94.08,33.333,366534,3385,213,94.08,101 Facts About The Oceans<br>Channel: 101Facts<br>Views: 366534<br>Likes: 3385<br>LikeRatio: 94.08<br>Length: 33:20
88,101 Facts About Dubai,101Facts,25:21,699,16,19557,213,2021-06-19,9,97.762,25.35,19557,699,16,97.762,101 Facts About Dubai<br>Channel: 101Facts<br>Views: 19557<br>Likes: 699<br>LikeRatio: 97.762<br>Length: 25:21
89,101 Facts About Artificial Intelligence,101Facts,35:58,2281,115,249657,230,2017-10-20,9,95.2,35.967,249657,2281,115,95.2,101 Facts About Artificial Intelligence<br>Channel: 101Facts<br>Views: 249657<br>Likes: 2281<br>LikeRatio: 95.2<br>Length: 35:58
90,101 Facts About The Paranormal,101Facts,30:30,9469,1064,919415,1122,2016-10-21,9,89.898,30.5,919415,9469,1064,89.898,101 Facts About The Paranormal<br>Channel: 101Facts<br>Views: 919415<br>Likes: 9469<br>LikeRatio: 89.898<br>Length: 30:30
91,500 Facts - mental_floss List Show Ep. 524,Mental Floss,44:58,13613,988,1713848,1140,2017-12-20,9,93.233,44.967,1713848,13613,988,93.233,500 Facts - mental_floss List Show Ep. 524<br>Channel: Mental Floss<br>Views: 1713848<br>Likes: 13613<br>LikeRatio: 93.233<br>Length: 44:58
92,101 Facts about Spies & Secret Agents,101Facts,35:33,3174,166,252059,292,2018-04-28,10,95.03,35.55,252059,3174,166,95.03,101 Facts about Spies & Secret Agents<br>Channel: 101Facts<br>Views: 252059<br>Likes: 3174<br>LikeRatio: 95.03<br>Length: 35:33
93,101 Facts About The CIA,101Facts,32:24,6867,493,599133,855,2017-03-10,10,93.302,32.4,599133,6867,493,93.302,101 Facts About The CIA<br>Channel: 101Facts<br>Views: 599133<br>Likes: 6867<br>LikeRatio: 93.302<br>Length: 32:24
94,101 Facts About Artificial Intelligence,101Facts,35:58,2281,115,249657,230,2017-10-20,10,95.2,35.967,249657,2281,115,95.2,101 Facts About Artificial Intelligence<br>Channel: 101Facts<br>Views: 249657<br>Likes: 2281<br>LikeRatio: 95.2<br>Length: 35:58
95,101 Facts About Crime and Punishment,101Facts,32:29,4620,243,352486,617,2016-08-26,10,95.003,32.483,352486,4620,243,95.003,101 Facts About Crime and Punishment<br>Channel: 101Facts<br>Views: 352486<br>Likes: 4620<br>LikeRatio: 95.003<br>Length: 32:29
96,101 Facts About The Oceans,101Facts,33:20,3385,213,366534,315,2017-11-08,10,94.08,33.333,366534,3385,213,94.08,101 Facts About The Oceans<br>Channel: 101Facts<br>Views: 366534<br>Likes: 3385<br>LikeRatio: 94.08<br>Length: 33:20
97,101 Facts About Italy,101Facts,31:08,2158,103,116485,432,2018-03-28,10,95.444,31.133,116485,2158,103,95.444,101 Facts About Italy<br>Channel: 101Facts<br>Views: 116485<br>Likes: 2158<br>LikeRatio: 95.444<br>Length: 31:08
98,101 Facts About Hollywood,101Facts,35:12,1732,65,116889,250,2019-02-23,10,96.383,35.2,116889,1732,65,96.383,101 Facts About Hollywood<br>Channel: 101Facts<br>Views: 116889<br>Likes: 1732<br>LikeRatio: 96.383<br>Length: 35:12
99,101 Facts About NASA,101Facts,30:40,3394,195,276809,622,2017-07-21,10,94.567,30.667,276809,3394,195,94.567,101 Facts About NASA<br>Channel: 101Facts<br>Views: 276809<br>Likes: 3394<br>LikeRatio: 94.567<br>Length: 30:40
100,101 Facts About The Paranormal,101Facts,30:30,9469,1064,919415,1122,2016-10-21,10,89.898,30.5,919415,9469,1064,89.898,101 Facts About The Paranormal<br>Channel: 101Facts<br>Views: 919415<br>Likes: 9469<br>LikeRatio: 89.898<br>Length: 30:30
