,Title,Channel,Length,Likes,Dislikes,Views,Comments,Uploaded,Depth,LikeRatio,Polarity,Minutes,views_str,likes_str,dislikes_str,pol_string,LikeRatio_str,plot_text
0,The BEST of Abed Nadir: Community S01 | LeoAshe.com,Leo Ashe,19:59,10818,183,836876,782,2020-01-09,1,98.337,1,20.0,836876,10818,183,1,98.337,The BEST of Abed Nadir: Community S01 | LeoAshe.com <br>Polarity: 1<br>Views: 836876<br>Likes: 10818<br>LikeRatio: 98.337<br>Length: 19:59
1,The BEST of Troy and Abed: Community S01 | LeoAshe.com,Leo Ashe,16:48,9581,142,725523,346,2020-01-09,1,98.54,1,17.0,725523,9581,142,1,98.54,The BEST of Troy and Abed: Community S01 | LeoAshe.com <br>Polarity: 1<br>Views: 725523<br>Likes: 9581<br>LikeRatio: 98.54<br>Length: 16:48
2,Every Brooklyn Nine-Nine Cold Open - Brooklyn Nine-Nine,NBC,5:26:27,95513,1271,4849197,3466,2020-04-30,1,98.687,0,326.0,4849197,95513,1271,0,98.687,Every Brooklyn Nine-Nine Cold Open - Brooklyn Nine-Nine <br>Polarity: 0<br>Views: 4849197<br>Likes: 95513<br>LikeRatio: 98.687<br>Length: 5:26:27
3,In Conversation with the Cast of Community,Vulture,1:06:31,32384,315,1482687,3471,2019-11-19,1,99.037,0,67.0,1482687,32384,315,0,99.037,In Conversation with the Cast of Community <br>Polarity: 0<br>Views: 1482687<br>Likes: 32384<br>LikeRatio: 99.037<br>Length: 1:06:31
4,Friends: Best Moments From Season 2 (Mashup) | TBS,TBS,56:52,118809,5267,17258174,4232,2020-08-20,1,95.755,1,57.0,17258174,118809,5267,1,95.755,Friends: Best Moments From Season 2 (Mashup) | TBS <br>Polarity: 1<br>Views: 17258174<br>Likes: 118809<br>LikeRatio: 95.755<br>Length: 56:52
5,Community Compilation - moments that never fail to make me laugh,Nixvon,03:46,10061,185,354028,412,2020-05-28,1,98.194,0,4.0,354028,10061,185,0,98.194,Community Compilation - moments that never fail to make me laugh <br>Polarity: 0<br>Views: 354028<br>Likes: 10061<br>LikeRatio: 98.194<br>Length: 03:46
6,Best of Alex (aka Star-Burns) | LeoAshe.com,Leo Ashe,19:57,1375,19,100808,143,2020-06-16,1,98.637,1,20.0,100808,1375,19,1,98.637,Best of Alex (aka Star-Burns) | LeoAshe.com <br>Polarity: 1<br>Views: 100808<br>Likes: 1375<br>LikeRatio: 98.637<br>Length: 19:57
7,Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community,Community,21:27,3812,19,85250,351,2021-05-19,1,99.504,0,21.0,85250,3812,19,0,99.504,Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community <br>Polarity: 0<br>Views: 85250<br>Likes: 3812<br>LikeRatio: 99.504<br>Length: 21:27
8,The Cast of Community Reunites for Table Read #stayhome #withme,Community,34:35,208627,1087,4494442,11702,2020-05-18,1,99.482,0,35.0,4494442,208627,1087,0,99.482,The Cast of Community Reunites for Table Read #stayhome #withme <br>Polarity: 0<br>Views: 4494442<br>Likes: 208627<br>LikeRatio: 99.482<br>Length: 34:35
9,one abed moment from every episode of community,curse,06:28,15295,80,407163,606,2020-06-02,1,99.48,0,6.0,407163,15295,80,0,99.48,one abed moment from every episode of community <br>Polarity: 0<br>Views: 407163<br>Likes: 15295<br>LikeRatio: 99.48<br>Length: 06:28
0,Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community,Community,21:27,3812,19,85250,351,2021-05-19,2,99.504,0,21.0,85250,3812,19,0,99.504,Contemporary American Poultry | FULL EPISODE - Available For A Limited Time! | Community <br>Polarity: 0<br>Views: 85250<br>Likes: 3812<br>LikeRatio: 99.504<br>Length: 21:27
1,Basic Genealogy | FULL EPISODE | Community,Community,21:07,1482,7,33276,204,2021-06-02,2,99.53,0,21.0,33276,1482,7,0,99.53,Basic Genealogy | FULL EPISODE | Community <br>Polarity: 0<br>Views: 33276<br>Likes: 1482<br>LikeRatio: 99.53<br>Length: 21:07
2,Community Writers' Favourite Moments | Community,Community,08:03,28726,159,1275499,974,2020-01-20,2,99.45,0,8.0,1275499,28726,159,0,99.45,Community Writers' Favourite Moments | Community <br>Polarity: 0<br>Views: 1275499<br>Likes: 28726<br>LikeRatio: 99.45<br>Length: 08:03
3,Film Theory: We Solved Community's Final Mystery! (Community),The Film Theorists,19:32,114653,2851,3672934,8186,2020-05-07,2,97.574,0,20.0,3672934,114653,2851,0,97.574,Film Theory: We Solved Community's Final Mystery! (Community) <br>Polarity: 0<br>Views: 3672934<br>Likes: 114653<br>LikeRatio: 97.574<br>Length: 19:32
4,I watched one SNL episode from every season,Drew Gooden,37:36,248726,2410,3291950,19134,2021-05-31,2,99.04,0,38.0,3291950,248726,2410,0,99.04,I watched one SNL episode from every season <br>Polarity: 0<br>Views: 3291950<br>Likes: 248726<br>LikeRatio: 99.04<br>Length: 37:36
5,Community and its Movie References Side by Side.,Yaron Baruch,13:47,23447,137,572995,909,2021-05-26,2,99.419,0,14.0,572995,23447,137,0,99.419,Community and its Movie References Side by Side. <br>Polarity: 0<br>Views: 572995<br>Likes: 23447<br>LikeRatio: 99.419<br>Length: 13:47
6,Every Brooklyn Nine-Nine Cold Open - Brooklyn Nine-Nine,NBC,5:26:27,95513,1271,4849197,3466,2020-04-30,2,98.687,0,326.0,4849197,95513,1271,0,98.687,Every Brooklyn Nine-Nine Cold Open - Brooklyn Nine-Nine <br>Polarity: 0<br>Views: 4849197<br>Likes: 95513<br>LikeRatio: 98.687<br>Length: 5:26:27
7,The BEST of Professor Ian Duncan: Community S01 | LeoAshe.com,Leo Ashe,13:16,5610,153,458805,425,2020-04-14,2,97.345,1,13.0,458805,5610,153,1,97.345,The BEST of Professor Ian Duncan: Community S01 | LeoAshe.com <br>Polarity: 1<br>Views: 458805<br>Likes: 5610<br>LikeRatio: 97.345<br>Length: 13:16
8,Community - Season 3 Full Outtakes!,TheLiuZhen,19:26,34547,483,4015254,2218,2012-08-15,2,98.621,0,19.0,4015254,34547,483,0,98.621,Community - Season 3 Full Outtakes! <br>Polarity: 0<br>Views: 4015254<br>Likes: 34547<br>LikeRatio: 98.621<br>Length: 19:26
9,How (Not) To Revive A Show: Arrested Development vs. Community,Drew Gooden,20:12,152506,2710,3823856,9904,2018-09-12,2,98.254,0,20.0,3823856,152506,2710,0,98.254,How (Not) To Revive A Show: Arrested Development vs. Community <br>Polarity: 0<br>Views: 3823856<br>Likes: 152506<br>LikeRatio: 98.254<br>Length: 20:12
10,Episode #9 - 8 Podcasts and a Zoom Chat,The Darkest Timeline with Ken Jeong & Joel McHale,57:32,67273,343,1950283,4823,2020-05-09,2,99.493,0,58.0,1950283,67273,343,0,99.493,Episode #9 - 8 Podcasts and a Zoom Chat <br>Polarity: 0<br>Views: 1950283<br>Likes: 67273<br>LikeRatio: 99.493<br>Length: 57:32
0,Community - Season 3 Full Outtakes!,TheLiuZhen,19:26,34547,483,4015254,2218,2012-08-15,3,98.621,0,19.0,4015254,34547,483,0,98.621,Community - Season 3 Full Outtakes! <br>Polarity: 0<br>Views: 4015254<br>Likes: 34547<br>LikeRatio: 98.621<br>Length: 19:26
1,Community Season 4 Outtakes,hejsvin,06:30,14762,267,1853601,696,2013-08-05,3,98.223,0,6.0,1853601,14762,267,0,98.223,Community Season 4 Outtakes <br>Polarity: 0<br>Views: 1853601<br>Likes: 14762<br>LikeRatio: 98.223<br>Length: 06:30
2,Paul Rudd Crashes Bill Hader’s CONAN Interview - CONAN on TBS,Team Coco,08:34,32823,248,1093742,2072,2021-06-22,3,99.25,0,9.0,1093742,32823,248,0,99.25,Paul Rudd Crashes Bill Hader’s CONAN Interview - CONAN on TBS <br>Polarity: 0<br>Views: 1093742<br>Likes: 32823<br>LikeRatio: 99.25<br>Length: 08:34
3,Alison Brie Broke Things at Donald Glover's Apartment,The Late Late Show with James Corden,04:05,22490,367,1655792,777,2018-09-13,3,98.394,0,4.0,1655792,22490,367,0,98.394,Alison Brie Broke Things at Donald Glover's Apartment <br>Polarity: 0<br>Views: 1655792<br>Likes: 22490<br>LikeRatio: 98.394<br>Length: 04:05
4,Every Brooklyn Nine-Nine Cold Open - Brooklyn Nine-Nine,NBC,5:26:27,95513,1271,4849197,3466,2020-04-30,3,98.687,0,326.0,4849197,95513,1271,0,98.687,Every Brooklyn Nine-Nine Cold Open - Brooklyn Nine-Nine <br>Polarity: 0<br>Views: 4849197<br>Likes: 95513<br>LikeRatio: 98.687<br>Length: 5:26:27
5,Film Theory: How To SURVIVE Saw!,The Film Theorists,15:30,67085,640,669694,3774,2021-06-22,3,99.055,0,16.0,669694,67085,640,0,99.055,Film Theory: How To SURVIVE Saw! <br>Polarity: 0<br>Views: 669694<br>Likes: 67085<br>LikeRatio: 99.055<br>Length: 15:30
6,Scenes Too Funny For Always Sunny (Bloopers),blashco,22:32,13215,237,1212441,588,2020-03-22,3,98.238,0,23.0,1212441,13215,237,0,98.238,Scenes Too Funny For Always Sunny (Bloopers) <br>Polarity: 0<br>Views: 1212441<br>Likes: 13215<br>LikeRatio: 98.238<br>Length: 22:32
7,Community and its Movie References Side by Side.,Yaron Baruch,13:47,23447,137,572995,909,2021-05-26,3,99.419,0,14.0,572995,23447,137,0,99.419,Community and its Movie References Side by Side. <br>Polarity: 0<br>Views: 572995<br>Likes: 23447<br>LikeRatio: 99.419<br>Length: 13:47
8,In Conversation with the Cast of Community,Vulture,1:06:31,32384,315,1482687,3471,2019-11-19,3,99.037,0,67.0,1482687,32384,315,0,99.037,In Conversation with the Cast of Community <br>Polarity: 0<br>Views: 1482687<br>Likes: 32384<br>LikeRatio: 99.037<br>Length: 1:06:31
9,101 Facts About Community,101Facts,30:30,13139,846,738547,991,2019-02-09,3,93.951,0,30.0,738547,13139,846,0,93.951,101 Facts About Community <br>Polarity: 0<br>Views: 738547<br>Likes: 13139<br>LikeRatio: 93.951<br>Length: 30:30
10,The Day Community Died,Entertain The Elk,17:35,66532,1703,2569193,4655,2019-07-23,3,97.504,0,18.0,2569193,66532,1703,0,97.504,The Day Community Died <br>Polarity: 0<br>Views: 2569193<br>Likes: 66532<br>LikeRatio: 97.504<br>Length: 17:35
0,In Conversation with the Cast of Community,Vulture,1:06:31,32384,315,1482687,3471,2019-11-19,4,99.037,0,67.0,1482687,32384,315,0,99.037,In Conversation with the Cast of Community <br>Polarity: 0<br>Views: 1482687<br>Likes: 32384<br>LikeRatio: 99.037<br>Length: 1:06:31
1,The Cast of Community Reunites for Table Read #stayhome #withme,Community,34:35,208627,1087,4494442,11702,2020-05-18,4,99.482,0,35.0,4494442,208627,1087,0,99.482,The Cast of Community Reunites for Table Read #stayhome #withme <br>Polarity: 0<br>Views: 4494442<br>Likes: 208627<br>LikeRatio: 99.482<br>Length: 34:35
2,"Tyranny, Slavery and Columbia U | Yeonmi Park | The Jordan B. Peterson Podcast - S4: E26",Jordan B Peterson,2:11:23,58201,816,1062985,12617,2021-05-31,4,98.617,0,131.0,1062985,58201,816,0,98.617,"Tyranny, Slavery and Columbia U | Yeonmi Park | The Jordan B. Peterson Podcast - S4: E26 <br>Polarity: 0<br>Views: 1062985<br>Likes: 58201<br>LikeRatio: 98.617<br>Length: 2:11:23"
3,Dan Harmon | Is Reality Just a Fart? | Talks at Google,Talks at Google,1:08:57,6532,245,387818,528,2017-07-19,4,96.385,0,69.0,387818,6532,245,0,96.385,Dan Harmon | Is Reality Just a Fart? | Talks at Google <br>Polarity: 0<br>Views: 387818<br>Likes: 6532<br>LikeRatio: 96.385<br>Length: 1:08:57
4,Conversations with Sir Ian McKellen,SAG-AFTRA Foundation,1:30:46,1268,17,98353,66,2015-10-16,4,98.677,0,91.0,98353,1268,17,0,98.677,Conversations with Sir Ian McKellen <br>Polarity: 0<br>Views: 98353<br>Likes: 1268<br>LikeRatio: 98.677<br>Length: 1:30:46
5,Every Brooklyn Nine-Nine Cold Open - Brooklyn Nine-Nine,NBC,5:26:27,95513,1271,4849197,3466,2020-04-30,4,98.687,0,326.0,4849197,95513,1271,0,98.687,Every Brooklyn Nine-Nine Cold Open - Brooklyn Nine-Nine <br>Polarity: 0<br>Views: 4849197<br>Likes: 95513<br>LikeRatio: 98.687<br>Length: 5:26:27
6,Film Theory: We Solved Community's Final Mystery! (Community),The Film Theorists,19:32,114653,2851,3672934,8186,2020-05-07,4,97.574,0,20.0,3672934,114653,2851,0,97.574,Film Theory: We Solved Community's Final Mystery! (Community) <br>Polarity: 0<br>Views: 3672934<br>Likes: 114653<br>LikeRatio: 97.574<br>Length: 19:32
7,Don't Drop The Mic | A Conversation With Bishop T.D. Jakes and Pastor Steven Furtick,Official Steven Furtick,1:44:58,34392,1136,1241589,2894,2021-04-22,4,96.803,0,105.0,1241589,34392,1136,0,96.803,Don't Drop The Mic | A Conversation With Bishop T.D. Jakes and Pastor Steven Furtick <br>Polarity: 0<br>Views: 1241589<br>Likes: 34392<br>LikeRatio: 96.803<br>Length: 1:44:58
8,Episode #22 - Jesus Wept - JIM RASH,The Darkest Timeline with Ken Jeong & Joel McHale,1:39:27,3176,35,108341,0,2020-07-10,4,98.91,0,99.0,108341,3176,35,0,98.91,Episode #22 - Jesus Wept - JIM RASH <br>Polarity: 0<br>Views: 108341<br>Likes: 3176<br>LikeRatio: 98.91<br>Length: 1:39:27
9,Parks and Recreation 10th Anniversary Reunion at PaleyFest LA 2019: Full Conversation,The Paley Center for Media,1:12:10,11049,179,701937,919,2020-04-27,4,98.406,0,72.0,701937,11049,179,0,98.406,Parks and Recreation 10th Anniversary Reunion at PaleyFest LA 2019: Full Conversation <br>Polarity: 0<br>Views: 701937<br>Likes: 11049<br>LikeRatio: 98.406<br>Length: 1:12:10
10,The Cast of Scrubs Reunites at Vulture Festival,New York Magazine,56:33,9360,236,619797,1146,2018-11-28,4,97.541,0,57.0,619797,9360,236,0,97.541,The Cast of Scrubs Reunites at Vulture Festival <br>Polarity: 0<br>Views: 619797<br>Likes: 9360<br>LikeRatio: 97.541<br>Length: 56:33
0,Film Theory: We Solved Community's Final Mystery! (Community),The Film Theorists,19:32,114653,2851,3672934,8186,2020-05-07,5,97.574,0,20.0,3672934,114653,2851,0,97.574,Film Theory: We Solved Community's Final Mystery! (Community) <br>Polarity: 0<br>Views: 3672934<br>Likes: 114653<br>LikeRatio: 97.574<br>Length: 19:32
1,Film Theory: Gravity Falls ISN'T OVER! (Bill Cipher LIVES!),The Film Theorists,14:30,367274,6744,15990107,63079,2017-12-16,5,98.197,0,14.0,15990107,367274,6744,0,98.197,Film Theory: Gravity Falls ISN'T OVER! (Bill Cipher LIVES!) <br>Polarity: 0<br>Views: 15990107<br>Likes: 367274<br>LikeRatio: 98.197<br>Length: 14:30
2,Film Theory: How To SURVIVE Saw!,The Film Theorists,15:30,67085,640,669694,3774,2021-06-22,5,99.055,0,16.0,669694,67085,640,0,99.055,Film Theory: How To SURVIVE Saw! <br>Polarity: 0<br>Views: 669694<br>Likes: 67085<br>LikeRatio: 99.055<br>Length: 15:30
3,Film Theory: The BAD Truth about The Good Place Ending (ft. Pitch Meeting),The Film Theorists,15:54,136309,2687,3082211,8049,2020-02-20,5,98.067,0,16.0,3082211,136309,2687,0,98.067,Film Theory: The BAD Truth about The Good Place Ending (ft. Pitch Meeting) <br>Polarity: 0<br>Views: 3082211<br>Likes: 136309<br>LikeRatio: 98.067<br>Length: 15:54
4,Food Theory: I QUIT Diet Coke!,The Food Theorists,24:32,186697,2883,4104763,33272,2021-03-18,5,98.479,0,25.0,4104763,186697,2883,0,98.479,Food Theory: I QUIT Diet Coke! <br>Polarity: 0<br>Views: 4104763<br>Likes: 186697<br>LikeRatio: 98.479<br>Length: 24:32
5,The Cast of Community Reunites for Table Read #stayhome #withme,Community,34:35,208627,1087,4494442,11702,2020-05-18,5,99.482,0,35.0,4494442,208627,1087,0,99.482,The Cast of Community Reunites for Table Read #stayhome #withme <br>Polarity: 0<br>Views: 4494442<br>Likes: 208627<br>LikeRatio: 99.482<br>Length: 34:35
6,Film Theory: Don't Look Away Don'ẗ̶̖́ Loo̶̹͑͜k Aẃ̸̗ạ̵̕ỹ̵͙ Look̵̪͊̈ Away (Local 58),The Film Theorists,16:11,226313,4524,7333035,30440,2019-06-15,5,98.04,0,16.0,7333035,226313,4524,0,98.04,Film Theory: Don't Look Away Don'ẗ̶̖́ Loo̶̹͑͜k Aẃ̸̗ạ̵̕ỹ̵͙ Look̵̪͊̈ Away (Local 58) <br>Polarity: 0<br>Views: 7333035<br>Likes: 226313<br>LikeRatio: 98.04<br>Length: 16:11
7,Game Theory: The Disturbing Lore Of Lily's Garden,The Game Theorists,17:19,93012,1140,981841,10107,2021-06-22,5,98.789,0,17.0,981841,93012,1140,0,98.789,Game Theory: The Disturbing Lore Of Lily's Garden <br>Polarity: 0<br>Views: 981841<br>Likes: 93012<br>LikeRatio: 98.789<br>Length: 17:19
8,Community 38 Greatest Quotes,MrGakn,06:35,56822,1113,3828824,2504,2017-05-22,5,98.079,1,7.0,3828824,56822,1113,1,98.079,Community 38 Greatest Quotes <br>Polarity: 1<br>Views: 3828824<br>Likes: 56822<br>LikeRatio: 98.079<br>Length: 06:35
9,Film Theory: How A Tiger King Disposes of a Body!,The Film Theorists,18:15,139585,2604,4005084,12143,2020-04-16,5,98.169,0,18.0,4005084,139585,2604,0,98.169,Film Theory: How A Tiger King Disposes of a Body! <br>Polarity: 0<br>Views: 4005084<br>Likes: 139585<br>LikeRatio: 98.169<br>Length: 18:15
10,Community: Can TV Make Us Smarter?,Wisecrack,15:09,12439,211,259959,924,2020-11-27,5,98.332,0,15.0,259959,12439,211,0,98.332,Community: Can TV Make Us Smarter? <br>Polarity: 0<br>Views: 259959<br>Likes: 12439<br>LikeRatio: 98.332<br>Length: 15:09
0,The Cast of Community Reunites for Table Read #stayhome #withme,Community,34:35,208627,1087,4494442,11702,2020-05-18,6,99.482,0,35.0,4494442,208627,1087,0,99.482,The Cast of Community Reunites for Table Read #stayhome #withme <br>Polarity: 0<br>Views: 4494442<br>Likes: 208627<br>LikeRatio: 99.482<br>Length: 34:35
1,Continue watching! Cast of Community Q&A following Table Read #stayhome #withme,Community,40:05,52384,356,1572962,3961,2020-05-18,6,99.325,0,40.0,1572962,52384,356,0,99.325,Continue watching! Cast of Community Q&A following Table Read #stayhome #withme <br>Polarity: 0<br>Views: 1572962<br>Likes: 52384<br>LikeRatio: 99.325<br>Length: 40:05
2,Community and its Movie References Side by Side.,Yaron Baruch,13:47,23447,137,572995,909,2021-05-26,6,99.419,0,14.0,572995,23447,137,0,99.419,Community and its Movie References Side by Side. <br>Polarity: 0<br>Views: 572995<br>Likes: 23447<br>LikeRatio: 99.419<br>Length: 13:47
3,The Day Community Died,Entertain The Elk,17:35,66532,1703,2569193,4655,2019-07-23,6,97.504,0,18.0,2569193,66532,1703,0,97.504,The Day Community Died <br>Polarity: 0<br>Views: 2569193<br>Likes: 66532<br>LikeRatio: 97.504<br>Length: 17:35
4,Season 2 Bloopers! #2 | Community,Community,06:35,29375,187,1667275,1048,2020-04-01,6,99.367,0,7.0,1667275,29375,187,0,99.367,Season 2 Bloopers! #2 | Community <br>Polarity: 0<br>Views: 1667275<br>Likes: 29375<br>LikeRatio: 99.367<br>Length: 06:35
5,Episode #13 - The Changdalorian,The Darkest Timeline with Ken Jeong & Joel McHale,1:25:08,12046,73,383706,931,2020-05-24,6,99.398,0,85.0,383706,12046,73,0,99.398,Episode #13 - The Changdalorian <br>Polarity: 0<br>Views: 383706<br>Likes: 12046<br>LikeRatio: 99.398<br>Length: 1:25:08
6,Community Writers' Favourite Moments | Community,Community,08:03,28726,159,1275499,974,2020-01-20,6,99.45,0,8.0,1275499,28726,159,0,99.45,Community Writers' Favourite Moments | Community <br>Polarity: 0<br>Views: 1275499<br>Likes: 28726<br>LikeRatio: 99.45<br>Length: 08:03
7,How (Not) To Revive A Show: Arrested Development vs. Community,Drew Gooden,20:12,152506,2710,3823856,9904,2018-09-12,6,98.254,0,20.0,3823856,152506,2710,0,98.254,How (Not) To Revive A Show: Arrested Development vs. Community <br>Polarity: 0<br>Views: 3823856<br>Likes: 152506<br>LikeRatio: 98.254<br>Length: 20:12
8,Alison Brie Broke Things at Donald Glover's Apartment,The Late Late Show with James Corden,04:05,22490,367,1655792,777,2018-09-13,6,98.394,0,4.0,1655792,22490,367,0,98.394,Alison Brie Broke Things at Donald Glover's Apartment <br>Polarity: 0<br>Views: 1655792<br>Likes: 22490<br>LikeRatio: 98.394<br>Length: 04:05
9,Episode #9 - 8 Podcasts and a Zoom Chat,The Darkest Timeline with Ken Jeong & Joel McHale,57:32,67273,343,1950283,4823,2020-05-09,6,99.493,0,58.0,1950283,67273,343,0,99.493,Episode #9 - 8 Podcasts and a Zoom Chat <br>Polarity: 0<br>Views: 1950283<br>Likes: 67273<br>LikeRatio: 99.493<br>Length: 57:32
0,Alison Brie Broke Things at Donald Glover's Apartment,The Late Late Show with James Corden,04:05,22490,367,1655792,777,2018-09-13,7,98.394,0,4.0,1655792,22490,367,0,98.394,Alison Brie Broke Things at Donald Glover's Apartment <br>Polarity: 0<br>Views: 1655792<br>Likes: 22490<br>LikeRatio: 98.394<br>Length: 04:05
1,The Cast of Community Reunites for Table Read #stayhome #withme,Community,34:35,208627,1087,4494442,11702,2020-05-18,7,99.482,0,35.0,4494442,208627,1087,0,99.482,The Cast of Community Reunites for Table Read #stayhome #withme <br>Polarity: 0<br>Views: 4494442<br>Likes: 208627<br>LikeRatio: 99.482<br>Length: 34:35
2,Donald Glover Meets The Girl Scout Who Went Viral With 'Redbone',The Late Show with Stephen Colbert,10:54,135745,1985,8001086,6268,2018-03-01,7,98.559,0,11.0,8001086,135745,1985,0,98.559,Donald Glover Meets The Girl Scout Who Went Viral With 'Redbone' <br>Polarity: 0<br>Views: 8001086<br>Likes: 135745<br>LikeRatio: 98.559<br>Length: 10:54
3,Childish Gambino at The Breakfast Club Power 105.1,the breakfast club,27:51,4709,19,123519,335,2013-10-24,7,99.598,0,28.0,123519,4709,19,0,99.598,Childish Gambino at The Breakfast Club Power 105.1 <br>Polarity: 0<br>Views: 123519<br>Likes: 4709<br>LikeRatio: 99.598<br>Length: 27:51
4,We Had a Drink & Straightened Our Boss's Hair,The Late Late Show with James Corden,16:48,5895,94,161138,883,2021-06-22,7,98.43,0,17.0,161138,5895,94,0,98.43,We Had a Drink & Straightened Our Boss's Hair <br>Polarity: 0<br>Views: 161138<br>Likes: 5895<br>LikeRatio: 98.43<br>Length: 16:48
5,Joel McHale's Son's Insulting Nickname For Donald Glover - CONAN on TBS,Team Coco,01:40,11852,88,544981,245,2018-08-24,7,99.263,-1,2.0,544981,11852,88,-1,99.263,Joel McHale's Son's Insulting Nickname For Donald Glover - CONAN on TBS <br>Polarity: -1<br>Views: 544981<br>Likes: 11852<br>LikeRatio: 99.263<br>Length: 01:40
6,Alison Brie - Is Giving Craig Ferguson A Hard Time - 2/2 Appearances In Chron. Order [1080],The Jayleno Fly,16:01,13499,571,2144408,980,2017-03-04,7,95.942,0,16.0,2144408,13499,571,0,95.942,Alison Brie - Is Giving Craig Ferguson A Hard Time - 2/2 Appearances In Chron. Order [1080] <br>Polarity: 0<br>Views: 2144408<br>Likes: 13499<br>LikeRatio: 95.942<br>Length: 16:01
7,Betty Gilpin & Joel McHale Are Tired of Alison Brie's Nice Act,The Late Late Show with James Corden,02:46,11385,299,1127117,601,2019-08-08,7,97.441,0,3.0,1127117,11385,299,0,97.441,Betty Gilpin & Joel McHale Are Tired of Alison Brie's Nice Act <br>Polarity: 0<br>Views: 1127117<br>Likes: 11385<br>LikeRatio: 97.441<br>Length: 02:46
8,"Donald Glover & Phoebe Waller-Bridge, from Solo: A Star Wars Story, Eat American and UK Snacks",LADbible TV,05:16,35111,563,2311029,1256,2018-05-23,7,98.422,0,5.0,2311029,35111,563,0,98.422,"Donald Glover & Phoebe Waller-Bridge, from Solo: A Star Wars Story, Eat American and UK Snacks <br>Polarity: 0<br>Views: 2311029<br>Likes: 35111<br>LikeRatio: 98.422<br>Length: 05:16"
9,Migos Gives James Corden a Straightenin,The Late Late Show with James Corden,10:22,31765,174,639896,867,2021-06-16,7,99.455,0,10.0,639896,31765,174,0,99.455,Migos Gives James Corden a Straightenin <br>Polarity: 0<br>Views: 639896<br>Likes: 31765<br>LikeRatio: 99.455<br>Length: 10:22
